"country","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","total_tests","tests_1m_pop","population","continent","fatality_rate","population_2020","yearly_change","net_change","density_km2","land_area_km2","migrants_net","fert_rate","med_age","urban_pop_percent","world_share"
"Finland",6859,33,320,4,5500,1039,10,1238,58,184408,33287,5540010,"Europe",0.0467,5540720,0.0015,8564,18,303890,14000,1.53,43,0.861,0.001
"Iraq",6439,260,205,10,3156,3078,36,160,5,211485,5269,40137925,"Asia",0.0318,40222493,0.0232,912710,93,434320,7834,3.682,21,0.731,0.005
"Cameroon",5904,0,191,0,3568,2145,28,223,7,0,0,26483044,"Africa",0.0324,26545863,0.0259,669483,56,472710,-4800,4.603,19,0.563,0.003
"Azerbaijan",5494,248,63,2,3428,2003,42,542,6,294264,29045,10131281,"Asia",0.0115,10139177,0.0091,91459,123,82658,1200,2.0835,32,0.562,0.001
"Honduras",5094,208,201,2,536,4357,13,515,20,14790,1495,9890414,"North America",0.0395,9904607,0.0163,158490,89,111890,-6800,2.4872,24,0.573,0.001
"Sudan",5026,226,286,24,1423,3317,0,115,7,401,9,43752816,"Africa",0.0569,43849260,0.0242,1036022,25,1765048,-50000,4.4345,20,0.35,0.006
"Guatemala",4739,132,102,12,706,3931,5,265,6,31427,1757,17885239,"North America",0.0215,17915568,0.019,334096,167,107160,-9215,2.8989,23,0.518,0.002
"Luxembourg",4018,2,110,0,3833,75,3,6428,176,75432,120680,625058,"Europe",0.0274,625978,0.0166,10249,242,2590,9741,1.45,40,0.882,0
"Tajikistan",3930,123,47,0,2004,1879,0,413,5,0,0,9517571,"Asia",0.012,9537645,0.0232,216627,68,139960,-20000,3.6075,22,0.273,0.001
"Hungary",3876,9,526,2,2147,1203,25,401,54,185980,19248,9662323,"Europe",0.1357,9660351,-0.0025,-24328,107,90530,6000,1.4911,43,0.717,0.001
"Guinea",3706,0,23,0,2030,1653,24,283,2,14407,1100,13098481,"Africa",0.0062,13132795,0.0283,361549,53,245720,-4000,4.7384,18,0.386,0.002
"Senegal",3645,110,42,0,1801,1802,14,218,3,42105,2521,16701616,"Africa",0.0115,16743927,0.0275,447563,87,192530,-20000,4.65,19,0.494,0.002
"Uzbekistan",3623,77,15,1,2837,771,10,108,4,460000,13762,33425870,"Asia",0.0041,33469203,0.0148,487487,79,425400,-8863,2.43,28,0.501,0.004
"Djibouti",3354,160,24,2,1504,1826,0,3399,24,26366,26721,986716,"Africa",0.0072,988000,0.0148,14440,43,23180,900,2.7577,27,0.79,0
"Thailand",3081,4,57,0,2963,61,1,44,8,375453,5380,69785445,"Asia",0.0185,69799978,0.0025,174396,137,510890,19444,1.5346,40,0.511,0.009
"DRC",3070,104,72,3,448,2550,0,34,8,0,0,89294020,"Africa",0.0235,89561403,0.0319,2770836,40,2267050,23861,5.9635,17,0.456,0.011
"Greece",2917,2,175,0,1374,1368,13,280,17,180518,17312,10427085,"Europe",0.06,10423054,-0.0048,-50401,81,128900,-16000,1.3024,46,0.849,0.001
"Gabon",2655,0,17,0,722,1916,15,1196,8,13833,6229,2220779,"Africa",0.0064,2225734,0.0245,53155,9,257670,3260,4,23,0.871,0
"El Salvador",2517,122,46,2,1040,1431,53,388,7,89358,13782,6483446,"North America",0.0183,6486205,0.0051,32652,313,20720,-40539,2.0529,28,0.734,0.001
"Bulgaria",2513,14,140,1,1074,1299,17,361,20,81348,11701,6952517,"Europe",0.0557,6948445,-0.0074,-51674,64,108560,-4800,1.5584,45,0.756,0.001
"Bosnia and Herzegovina",2510,16,153,0,1862,495,4,765,47,65220,19869,3282421,"Europe",0.061,3280819,-0.0061,-20181,64,51000,-21585,1.27,43,0.523,0
"Croatia",2246,0,103,0,2072,71,4,547,25,66405,16168,4107255,"Europe",0.0459,4105267,-0.0061,-25037,73,55960,-8001,1.4461,44,0.577,0.001
"North Macedonia",2226,62,133,2,1552,541,21,1068,64,29575,14196,2083381,"Europe",0.0597,2083374,0,-85,83,25220,-1000,1.5,39,0.586,0
"Cuba",2045,20,83,0,1809,153,3,181,7,103123,9104,11327179,"North America",0.0406,11326616,-0.0006,-6867,106,106440,-14400,1.6166,42,0.783,0.001
"Somalia",1976,60,78,5,348,1550,2,125,5,0,0,15850314,"Africa",0.0395,15893222,0.0292,450317,25,627340,-40000,6.12,17,0.468,0.002
"Kenya",1962,74,64,1,478,1420,7,37,1,78536,1464,53660593,"Africa",0.0326,53771296,0.0228,1197323,94,569140,-10000,3.52,20,0.278,0.007
"Estonia",1869,4,68,1,1624,177,0,1409,51,83440,62904,1326462,"Europe",0.0364,1326535,0.0007,887,31,42390,3911,1.5878,42,0.679,0
"Haiti",1865,281,41,6,24,1800,0,164,4,4577,402,11390283,"North America",0.022,11402528,0.0124,139451,414,27560,-35000,2.96,24,0.569,0.001
"Iceland",1806,0,10,0,1794,2,0,5295,29,61025,178930,341055,"Europe",0.0055,341243,0.0065,2212,3,100250,380,1.77,37,0.944,0
"Maldives",1773,101,5,0,453,1315,9,3285,9,11775,21819,539677,"Asia",0.0028,540544,0.0181,9591,1802,300,11370,1.88,30,0.345,0
"Kyrgyzstan",1748,26,16,0,1170,562,4,268,2,111859,17171,6514462,"Asia",0.0092,6524195,0.0169,108345,34,191800,-4000,3,26,0.356,0.001
"Mayotte",1699,0,21,0,1385,293,9,6242,77,5200,19104,272192,"Africa",0.0124,272815,0.025,6665,728,375,0,3.7289,20,0.458,0
"Lithuania",1675,5,70,0,1236,369,17,615,26,302859,111136,2725125,"Europe",0.0418,2722289,-0.0135,-37338,43,62674,-32780,1.6698,45,0.713,0
"Sri Lanka",1633,20,10,0,801,822,1,76,5,63935,2987,21405720,"Asia",0.0061,21413249,0.0042,89516,341,62710,-97986,2.2102,34,0.184,0.003
"Nepal",1572,171,8,2,220,1344,0,54,3,180691,6212,29088995,"Asia",0.0051,29136808,0.0185,528098,203,143350,41710,1.934,25,0.214,0.004
"Slovakia",1521,0,28,0,1366,127,0,279,5,172601,31615,5459425,"Europe",0.0184,5459642,0.0005,2629,114,48088,1485,1.502,41,0.537,0.001
"New Zealand",1504,0,22,0,1481,1,0,301,4,280983,56173,5002100,"Australia/Oceania",0.0146,4822233,0.0082,39170,18,263310,14881,1.9,38,0.869,0.001
"Slovenia",1473,0,108,0,1358,7,2,709,52,79897,38432,2078915,"Europe",0.0733,2078938,0.0001,284,103,20140,2000,1.6,45,0.552,0
"Venezuela",1459,0,14,0,302,1143,3,51,5,970394,34118,28442404,"South America",0.0096,28435940,-0.0028,-79889,32,882050,-653249,2.283,30,,0.004
"Equatorial Guinea",1306,0,12,0,200,1094,0,934,9,8268,5913,1398393,"Africa",0.0092,1402985,0.0347,46999,50,28050,16000,4.5543,22,0.733,0
"Mali",1265,15,77,1,716,472,0,63,4,3483,172,20194089,"Africa",0.0609,20250833,0.0302,592802,17,1220190,-40000,5.9215,16,0.44,0.003
"Guinea-Bissau",1256,0,8,0,42,1206,0,640,4,1500,764,1963612,"Africa",0.0064,1968001,0.0245,47079,70,28120,-1399,4.51,19,0.449,0
"Lebanon",1220,29,27,1,712,481,3,179,4,83574,12240,6827871,"Asia",0.0221,6825445,-0.0044,-30268,667,10230,-30012,2.09,30,0.784,0.001
